Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
Nagarjuna,No,No,4.3,1773,Residency Road,Delivery,Casual Dining,"Mutton Biryani, Chicken Biryani, Hyderabadi Biryani, Andhra Biryani, Mutton Keema Balls, Thali, Raita","Andhra, Biryani",800,Brigade Road
Nagarjuna Chimney,No,No,4.0,923,Jayanagar,Delivery,Casual Dining,"Chicken Biryani, Andhra Meal, Pepper Chicken, Andhra Thali, Chilli Chicken, Murgh Ghee Roast, Vegetable Biryani","Andhra, Biryani",600,Jayanagar
Nagas,Yes,No,3.5,94,Whitefield,Delivery,Food Court,"Biryani, Chilli Chicken","Andhra, South Indian, Hyderabadi",500,Brookefield
Naga's,Yes,No,3.7,36,Whitefield,Dine-out,Food Court,Tandoori Chicken,"Andhra, Hyderabadi, Biryani",600,Whitefield
Nagashree's,No,No,2.9,46,Shanti Nagar,Dine-out,Casual Dining,"Biryani, Mutton Chops","South Indian, North Indian, Fast Food",550,Residency Road
Nagli Veg & Non Veg,No,No,0,0,Old Airport Road,Dine-out,Quick Bites,"",North Indian,150,Old Airport Road
Naidoo's Donne Biryani,Yes,No,3.5,13,Kammanahalli,Delivery,"Takeaway, Delivery","","South Indian, Biryani",300,Frazer Town
Naidu Hotel,No,No,0,0,Electronic City,Delivery,Quick Bites,"",South Indian,200,Electronic City
Naidu Military Hotel,Yes,No,3.5,13,Kammanahalli,Dine-out,Quick Bites,"",South Indian,250,Kammanahalli
Naina Nand Food Express,Yes,No,3.4,9,HBR Layout,Dine-out,Quick Bites,"","North Indian, Chinese",300,Kammanahalli
Nainital North Indian Restaurant,Yes,No,3.5,73,Electronic City,Delivery,Quick Bites,"Chole Bhature, Veg Thali",North Indian,400,Electronic City
Nakkala's Food Hunt,Yes,No,2.4,135,Marathahalli,Dine-out,Casual Dining,Biryani,"North Indian, Chinese",600,Marathahalli
Nakkshatra,No,Yes,4.5,443,Marathahalli,Dine-out,Casual Dining,"Paan Shot, Kalmi Kabab, Achari Chicken, Paneer Khurchan, Cocktails, Chicken Lollipop, Dum Ka Chicken","North Indian, Chinese",900,Marathahalli
Nala Bheema Hotel,No,No,0,0,Sanjay Nagar,Delivery,Quick Bites,"",South Indian,150,New BEL Road
Nalaas Aapakadai,No,No,2.7,33,Whitefield,Dine-out,Food Court,Appam,"South Indian, Chettinad",400,Whitefield
NalaMaharaja,No,No,3.3,7,New BEL Road,Delivery,Casual Dining,"",North Indian,500,New BEL Road
Nalukettu,Yes,No,3.5,4,HBR Layout,Delivery,Delivery,"",Kerala,450,Kammanahalli
Namak,Yes,No,3.1,5,Nagawara,Delivery,Quick Bites,"","North Indian, Chinese",650,Kammanahalli
Namak Swad Anusaar,Yes,No,3.8,156,Marathahalli,Delivery,Quick Bites,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala","North Indian, Chinese, Biryani, Rolls",400,Marathahalli
Namakh Store And Cafe,Yes,No,3.7,18,New BEL Road,Delivery,Cafe,"","Cafe, Continental, American",400,New BEL Road
Namana Garden,No,No,2.6,75,BTM,Dine-out,Quick Bites,Vada,"North Indian, South Indian, Chinese, Street Food",400,BTM
