Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
Bachelor's Special Biriyani,No,No,3.3,6,Electronic City,Delivery,Quick Bites,"","Biryani, North Indian, South Indian",250,Electronic City
Backyard,No,No,0,0,Richmond Road,Delivery,Quick Bites,"","Continental, South Indian, Fast Food",400,Residency Road
Bada Bing Burgers,Yes,No,3.5,13,Frazer Town,Delivery,Delivery,"","Burger, Desserts",300,Kalyan Nagar
Bade Miyan Kababs,No,No,0,0,Banaswadi,Delivery,Casual Dining,"","Kebab, Hyderabadi, Biryani, North Indian",800,Frazer Town
Bademiyan Kebabs,Yes,No,3.8,86,Malleshwaram,Dine-out,Casual Dining,"Chicken Biryani, Roti","Kebab, Hyderabadi, Biryani, Charcoal Chicken",600,Malleshwaram
Badey Miyan Chote Miyan,Yes,No,0,0,Sarjapur Road,Dine-out,Quick Bites,"",Biryani,300,Sarjapur Road
Bageecha,Yes,No,2.2,479,Marathahalli,Delivery,Casual Dining,"Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken","North Indian, Chinese",650,Brookefield
Bahar Cafe,Yes,Yes,4.0,903,Marathahalli,Delivery,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Butter Naan, Vegetable Biryani, Ulvacharu Biryani, Mutton Biryani, Raita","Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750,Brookefield
Baisakhi,Yes,No,3.8,528,Basavanagudi,Delivery,Casual Dining,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500,Jayanagar
Baithak,No,No,4.2,1385,HSR,Delivery,"Casual Dining, Bar","Wood Fire Pizza, Cocktails, Ferrero Rocher Shake, Falafel, Peri Peri Chicken, Pasta, Mocktails","Continental, North Indian, Mughlai",1100,Sarjapur Road
Bajji Corner,No,No,0,0,Seshadripuram,Delivery,Quick Bites,"",Fast Food,150,Malleshwaram
Bajji House,Yes,No,3.5,7,HSR,Delivery,Quick Bites,"",Street Food,100,Koramangala 7th Block
Bak'd Goodies,No,No,0,0,Electronic City,Delivery,Bakery,"",Bakery,350,Electronic City
Bake a Smile,No,No,3.4,9,Old Airport Road,Delivery,"Takeaway, Delivery","","Bakery, Desserts",400,Old Airport Road
Bake Addiction,Yes,No,4.1,95,JP Nagar,Desserts,Bakery,"Cup Cake, Swiss Roll","Bakery, Desserts",500,BTM
Bake and Fry,Yes,No,3.1,9,RT Nagar,Delivery,"Takeaway, Delivery","","Fast Food, Sandwich",400,Frazer Town
Bake and Juice,Yes,No,3.7,15,BTM,Dine-out,Quick Bites,"","Fast Food, North Indian",400,Jayanagar
Bake Delite,Yes,No,3.7,18,Kumaraswamy Layout,Delivery,"Bakery, Quick Bites","","Bakery, Fast Food",400,JP Nagar
Bake Feast,No,No,0,0,Bannerghatta Road,Delivery,Bakery,"",Bakery,300,Bannerghatta Road
Bake Land,No,No,3.2,15,Wilson Garden,Desserts,Bakery,"",Bakery,150,Koramangala 7th Block
Bake Magic,Yes,No,0,0,Electronic City,Desserts,Bakery,"",Bakery,300,Electronic City
Bake My Day,No,No,0,0,JP Nagar,Desserts,"Bakery, Dessert Parlor","","Bakery, Desserts",1000,JP Nagar
Bake N Joy,No,No,3.5,6,Kammanahalli,Desserts,Dessert Parlor,"","Bakery, Beverages",500,Kammanahalli
Bake The Cake,Yes,No,3.2,4,Bommanahalli,Desserts,"Bakery, Beverage Shop","","Bakery, Fast Food, Beverages",250,BTM
Bake-A-Luru,No,No,0,0,New BEL Road,Delivery,Bakery,"","Bakery, Desserts",500,New BEL Road
Bake-ooh,No,No,3.7,17,Bannerghatta Road,Desserts,"Takeaway, Delivery","",Bakery,350,JP Nagar
Baker Ree,No,No,3.7,22,Frazer Town,Desserts,Delivery,"","Bakery, Desserts",200,Frazer Town
Bakers 77,No,No,0,0,MG Road,Desserts,"Bakery, Quick Bites","","Bakery, Fast Food",400,Residency Road
Baker's Cafe,Yes,No,3.5,8,Marathahalli,Delivery,Bakery,"","Bakery, Desserts",200,Bellandur
Bakers Day,No,No,3.9,48,Basavanagudi,Desserts,Bakery,"","Bakery, Desserts",200,Jayanagar
Baker's Glove,Yes,No,3.4,8,Jayanagar,Delivery,"Bakery, Quick Bites","","Desserts, Bakery",550,Koramangala 7th Block
Baker's Home,Yes,No,4.0,175,Bellandur,Desserts,"Bakery, Dessert Parlor",Designer Cakes,"Bakery, Desserts",300,Bellandur
Bakers Paradise,No,No,3.0,8,Rajajinagar,Desserts,"Bakery, Dessert Parlor","","Bakery, Desserts, Beverages",100,Rajajinagar
Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,Delivery,Cafe,"Freak Shake, Fries, Pasta Alfredo","Cafe, Continental, Fast Food",600,JP Nagar
Baker's Treat,No,No,0,0,Koramangala 7th Block,Delivery,"Bakery, Dessert Parlor","","Bakery, Desserts",350,Koramangala 7th Block
Bakers77,Yes,No,4.0,37,Jayanagar,Delivery,"Bakery, Quick Bites","","Bakery, Fast Food",400,JP Nagar
Bakery 24x7,Yes,No,0,0,Whitefield,Desserts,"Takeaway, Delivery","",Desserts,500,Whitefield
Bakewalk,No,No,3.3,4,Wilson Garden,Desserts,Bakery,"","Bakery, Arabian",200,Residency Road
Bakimo,No,No,3.5,7,Koramangala 5th Block,Dine-out,Casual Dining,"",Continental,850,Koramangala 6th Block
Baking Delite,No,No,0,0,Koramangala 7th Block,Delivery,"Takeaway, Delivery","",Desserts,550,Koramangala 7th Block
Bakingo,Yes,No,4.0,75,Koramangala 1st Block,Desserts,Bakery,Coffee,"Bakery, Desserts",500,HSR
Balaji Abhiruchi Multicuisine Restaurant,No,No,3.4,27,Marathahalli,Dine-out,Casual Dining,"","South Indian, North Indian, Chinese",550,Marathahalli
Balaji Biriyani Corner,No,No,0,0,HBR Layout,Delivery,Quick Bites,"","Biryani, South Indian, Chinese",350,Kalyan Nagar
Balaji Bombay Vada Pav Gujrati Dalebi,Yes,No,3.8,38,JP Nagar,Delivery,Takeaway,"","Street Food, Sandwich",150,JP Nagar
Balaji Foods,No,No,0,0,Electronic City,Delivery,"Takeaway, Delivery","",South Indian,250,Electronic City
Balaji Hotel,Yes,No,0,0,Kaggadasapura,Delivery,Quick Bites,"","South Indian, North Indian, Beverages",300,Marathahalli
Ballava,No,No,3.3,5,Bannerghatta Road,Delivery,Quick Bites,"","North Indian, South Indian",400,Bannerghatta Road
Balle Balle Dhaba,Yes,No,3.6,199,Kalyan Nagar,Dine-out,Quick Bites,"Paratha, Chicken Biryani, Butter Chicken, Lassi, Chilli Paneer, Tandoori Chicken, Naan","North Indian, Chinese",500,Kammanahalli
Balle-Licious Kitchen,Yes,No,3.9,170,HSR,Delivery,Delivery,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",North Indian,400,HSR
Baluchi - The Lalit Ashok Bangalore,No,Yes,4.0,134,Seshadripuram,Dine-out,Fine Dining,"Tandoori Chicken, Nalli Nihari, Rose Kulfi, Roti, Biryani, Raita, Thali","North Indian, Kashmiri, Mughlai",3700,Malleshwaram
Bamboo Heights,No,No,3.7,113,BTM,Dine-out,Casual Dining,Friendly Staff,"Chinese, Fast Food, Continental",500,Koramangala 6th Block
Bamboo Shades,Yes,No,2.8,48,Electronic City,Delivery,Casual Dining,"","Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",1000,Electronic City
Bamey's Restro Cafe,Yes,No,4.2,533,Koramangala 5th Block,Delivery,Casual Dining,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos","Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600,Koramangala 5th Block
Banana Beach Bar,Yes,Yes,3.7,1014,Koramangala 6th Block,Delivery,Bar,"Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll","Continental, Chinese",1300,BTM
Banana Leaf,No,No,3.5,12,Domlur,Dine-out,Casual Dining,"",Andhra,500,Indiranagar
Banaras Sweet House,No,No,3.7,24,Majestic,Desserts,"Sweet Shop, Quick Bites","","Mithai, Fast Food",100,Lavelle Road
Banarasi Chat Centre,No,No,3.2,6,Kammanahalli,Dine-out,Quick Bites,"",Street Food,150,Kammanahalli
Banarasi Tadka,Yes,No,2.8,19,Banaswadi,Delivery,Quick Bites,"",North Indian,200,Kammanahalli
Banashankari Biriyani,No,No,0,0,Rajajinagar,Delivery,Quick Bites,"","Biryani, South Indian",300,Rajajinagar
Banashankari Biryani Mane,No,No,0,0,Basaveshwara Nagar,Dine-out,Quick Bites,"","Biryani, Fast Food",400,Rajajinagar
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Delivery,Quick Bites,"","Biryani, Fast Food",300,Basavanagudi
Banashankari Nati Style,Yes,No,3.6,8,JP Nagar,Delivery,Quick Bites,"",South Indian,300,Jayanagar
Banashankari Restaurant,Yes,No,3.6,24,New BEL Road,Dine-out,Quick Bites,"",South Indian,400,New BEL Road
Banashankri Donne Biriyani,Yes,No,0,0,Ulsoor,Dine-out,Quick Bites,"","Biryani, Fast Food",300,Indiranagar
Banashree Caterers,No,No,0,0,Koramangala 8th Block,Delivery,"Takeaway, Delivery","",South Indian,250,Koramangala 7th Block
BanBay,No,No,4.0,44,Vasanth Nagar,Cafes,Cafe,"Waffles, Burgers, Fish","Cafe, Modern Indian, Pizza, Burger, Desserts",1100,Frazer Town
Banchharam,No,No,3.9,67,Ulsoor,Desserts,Quick Bites,"Rasgulla, Mishti Doi, Samosa, Kheer Kadam, Veg Cutlet, Rasmalai","Street Food, Mithai",200,MG Road
Bang - The Ritz-Carlton,No,Yes,4.3,474,Residency Road,Drinks & nightlife,Lounge,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",Finger Food,3000,Brigade Road
Bangali Babu Restaurant,No,No,3.2,4,BTM,Desserts,Sweet Shop,"","Mithai, Desserts, Fast Food",250,BTM
Bangaliana,Yes,No,3.9,453,Koramangala 7th Block,Delivery,Casual Dining,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",Bengali,600,Jayanagar
Bangalir Rannaghar,No,No,2.9,58,Bannerghatta Road,Dine-out,Quick Bites,Noodles,"Bengali, North Indian, Chinese",250,Bannerghatta Road
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Dine-out,Quick Bites,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400,Basavanagudi
Bangalore Biriyani,No,No,0,0,Shanti Nagar,Delivery,"Takeaway, Delivery","","Biryani, Kebab",250,Residency Road
Bangalore Blooms,No,No,0,0,Sanjay Nagar,Delivery,Bakery,"",Bakery,300,New BEL Road
BANGALORE BOX,Yes,Yes,4.2,611,BTM,Delivery,"Casual Dining, Bar","Biryani, Chicken Bbq Wings, Mocktails, Sangria, Cocktails, Burgers, Pasta","Asian, Continental, Finger Food",1500,Bannerghatta Road
Bangalore Brew Works,No,Yes,4.3,2233,Residency Road,Dine-out,"Microbrewery, Lounge","Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer","Continental, Italian",1700,MG Road
Bangalore Bytes,Yes,No,3.5,121,Brigade Road,Delivery,Quick Bites,"","Fast Food, South Indian, Biryani",300,Church Street
Bangalore Cafe,Yes,No,3.7,197,HSR,Delivery,Quick Bites,"Sabudana Vada, Masala Dosa, Filter Coffee, Pesarattu Upma, Podi Idli, Mirchi Bajji, Pongal","South Indian, Fast Food",400,Koramangala 4th Block
Bangalore Cakes,Yes,No,2.9,17,Electronic City,Desserts,Bakery,"",Bakery,250,Electronic City
Bangalore City Flowers And Cakes,No,No,0,0,Malleshwaram,Delivery,Bakery,"",Bakery,200,Rajajinagar
Bangalore Donne Biriyani,Yes,No,3.2,4,Kumaraswamy Layout,Delivery,Quick Bites,"","South Indian, Biryani",300,Jayanagar
Bangalore Durbar Fast Food,Yes,No,3.6,18,Thippasandra,Delivery,"Takeaway, Delivery","","North Indian, South Indian, Chinese, Kerala",600,Indiranagar
Bangalore Express,No,No,0,0,Thippasandra,Delivery,"Takeaway, Delivery","","Bengali, Chinese, Seafood",300,Old Airport Road
Bangalore Food Cafe,No,No,0,0,Brookefield,Dine-out,Quick Bites,"","North Indian, South Indian, Chinese, Fast Food",300,Brookefield
Bangalore Grill House,No,No,3.2,6,Thippasandra,Dine-out,Quick Bites,"","Arabian, BBQ, Mexican",300,Old Airport Road
Bangalore Hotel,No,No,0,0,Indiranagar,Dine-out,Quick Bites,"","Biryani, Kebab",200,Indiranagar
Bangalore Kabab Palace,No,No,0,0,Banashankari,Dine-out,Quick Bites,"","Andhra, Biryani",150,Banashankari
Bangalore Mandarin,Yes,No,4.3,782,Whitefield,Delivery,Casual Dining,"Singapore Noodles, Kung Pao Chicken, Mixed Fried Rice, Corn Fritters, Wonton, Clear Soup, Fish","Chinese, Seafood",1100,Whitefield
Bangalore Masala House,Yes,No,4.2,255,Vasanth Nagar,Delivery,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500,Brigade Road
Bangalore Pantry,Yes,No,0,0,Bannerghatta Road,Dine-out,Quick Bites,"","Chinese, North Indian, Biryani, Arabian",400,Bannerghatta Road
Bangalore Pizza & Pulse Juice Bar,No,No,0,0,Bannerghatta Road,Delivery,Food Court,"","Juices, Pizza",500,Bannerghatta Road
Bangalore Pub Exchange,No,Yes,4.2,221,MG Road,Dine-out,"Pub, Casual Dining","Pizza, Fish, Cocktails, Cosmopolitan, Pasta Alfredo, Brownie Chocolate, Potli Biryani","Continental, Finger Food, Pizza, North Indian",1000,Lavelle Road
Bangalore Shadi Biriyani,Yes,No,3.5,57,Vasanth Nagar,Delivery,Quick Bites,"","Chinese, North Indian",150,Church Street
Bangalore Star Biriyani,No,No,3.4,7,BTM,Dine-out,Quick Bites,"","Biryani, Chinese, North Indian",300,BTM
Bangalore Vibes,Yes,No,3.2,4,Hennur,Dine-out,Quick Bites,"","North Indian, Chinese",300,Kammanahalli
Bangarpet Chat Express,Yes,No,3.4,6,Basavanagudi,Delivery,Quick Bites,"","Street Food, Fast Food",100,Lavelle Road
Bangarpet Chats,No,No,3.5,7,Basaveshwara Nagar,Dine-out,Quick Bites,"",Street Food,100,Rajajinagar
Bangarpet Chats Adda,Yes,No,0,0,Electronic City,Delivery,Quick Bites,"","Street Food, Sandwich, Beverages",200,Electronic City
Bangarpet Chats Corner,No,No,3.3,7,Rajajinagar,Dine-out,Quick Bites,"",Street Food,150,Malleshwaram
Banjara Melting Pot,Yes,Yes,4.2,476,Cunningham Road,Delivery,Casual Dining,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails","North Indian, Chinese, Seafood",1700,Lavelle Road
Bansuri Sweets,No,No,3.8,110,BTM,Delivery,Quick Bites,"Chaat, Gulab Jamun, Panipuri, Samosa, Dhokla, Thali, Kachori","Street Food, North Indian",200,BTM
Bao & Grills,Yes,No,3.0,112,Whitefield,Dine-out,Food Court,"Noodles, Momos, Veg Sizzler, Chicken Teriyaki Bao, Vegetable Dumplings","Chinese, Asian",600,Whitefield
Bao and Rolls,No,No,3.6,19,Bannerghatta Road,Delivery,Quick Bites,"","Rolls, Kebab, Fast Food",250,Bannerghatta Road
BAR BAR,No,Yes,4.1,1003,Whitefield,Dine-out,"Bar, Casual Dining","Mocktails, Cocktails, Pizza, Chicken Tikka, Nachos, Biryani, Beer","Continental, North Indian, Italian",1500,Whitefield
Bar UNO - JW Marriott Bengaluru,No,No,3.9,73,Lavelle Road,Drinks & nightlife,Lounge,"Cocktails, Pizza",Spanish,2500,MG Road
Barbecoa,No,No,4.3,1303,Marathahalli,Dine-out,Casual Dining,"Chicken Dum Biryani, Egg Curry, Honey Cake, Gajar Halwa, Carrot Halwa, Hakka Noodles, Rabri","North Indian, Continental, Chettinad, Andhra, Bengali",1000,Bellandur
Barbecue by Punjab Grill,No,Yes,4.8,1367,Malleshwaram,Dine-out,Casual Dining,"Prawn, Panipuri, Chaat, Biryani, Paan Ice Cream, Brownie, Tandoori Prawns",BBQ,1300,Rajajinagar
Barbecued - By The Orchard,No,Yes,4.3,592,Sadashiv Nagar,Dine-out,Casual Dining,"Vegetable Biryani, Panipuri, Chaat, Paneer Tikka, Lunch Buffet, Curd Rice, Vegetarian",North Indian,1200,Malleshwaram
Barbeque Delight,Yes,No,3.8,66,Koramangala 5th Block,Delivery,Casual Dining,"Tandoori Chicken, Paratha","Arabian, Kerala, North Indian, Chinese, BBQ",800,Koramangala 7th Block
Barbeque Nation,No,Yes,4.8,3864,JP Nagar,Dine-out,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","North Indian, European, Mediterranean, BBQ, Kebab",1600,Jayanagar
Barbeque Station,Yes,No,2.8,152,Koramangala 7th Block,Dine-out,Casual Dining,"Biryani, Butter Naan","North Indian, Chinese, BBQ",700,Koramangala 5th Block
Barcode,No,Yes,3.8,170,Koramangala 4th Block,Dine-out,Bar,"Prawn, French Fries, Draught Beer, Biryani","South Indian, North Indian",1300,Koramangala 5th Block
Bare Grills,Yes,No,0,0,Koramangala 6th Block,Delivery,Delivery,"","Rolls, BBQ, Kebab",350,Koramangala 7th Block
Barebones - The Balcony Bar,No,Yes,4.2,2445,Indiranagar,Drinks & nightlife,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian",1500,Indiranagar
Barista,No,No,3.7,35,Shanti Nagar,Dine-out,Cafe,"",Cafe,300,Brigade Road
Barkaas,Yes,Yes,4.3,176,Marathahalli,Delivery,Casual Dining,"Fish, Falafel, Mutton Shorba, Biryani, Pita Bread, Chicken Steak, Kunafa","Arabian, Biryani, Desserts, Beverages, Salad",1000,Brookefield
Barkat,No,No,3.4,5,BTM,Dine-out,Quick Bites,"",Kerala,250,BTM
Barley & Grapes Cafe,No,No,4.2,843,Whitefield,Dine-out,Cafe,"Beer, Burgers, Pizza, Pasta, Mocktails, Salads, Sangria","Cafe, Italian, Continental",1000,Whitefield
Barleyz,No,No,3.8,4648,Koramangala 6th Block,Delivery,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea","North Indian, Continental, Chinese",2000,Koramangala 4th Block
Basava Bhavana (B2),No,No,0,0,HSR,Dine-out,Quick Bites,"",South Indian,200,HSR
Basava Hotel,No,No,0,0,BTM,Dine-out,Quick Bites,"",South Indian,200,Koramangala 4th Block
Basavanagudi Mylari,No,No,4.0,53,Basavanagudi,Dine-out,Quick Bites,"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa",South Indian,300,Basavanagudi
Basaveshwara Kanawali,No,No,3.5,13,Whitefield,Dine-out,Quick Bites,"",South Indian,250,Whitefield
Basaveshwara Khanavali,Yes,No,3.6,12,Sarjapur Road,Dine-out,Quick Bites,"",South Indian,150,Sarjapur Road
Basaveshwara Khanavali Rotti House,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"",North Indian,150,Marathahalli
Basaveshwarnagar Dosa Corner,Yes,No,3.8,75,Basaveshwara Nagar,Delivery,Quick Bites,"",South Indian,200,Malleshwaram
Basawa Hotel,No,No,3.4,8,BTM,Dine-out,Quick Bites,"",South Indian,250,BTM
Based On A True Story- Bistro,Yes,Yes,4.3,496,Kammanahalli,Cafes,"Cafe, Quick Bites","Burgers, Popcorn, Pancakes, Brownie, Nachos, Pasta, Terminator Burger","Cafe, Burger, Italian, Desserts",800,Kalyan Nagar
Basil Joint,Yes,No,3.5,24,New BEL Road,Delivery,"Takeaway, Delivery","","Fast Food, Beverages",300,Malleshwaram
Baskiin's Rabbin,No,No,0,0,Electronic City,Delivery,Quick Bites,"","Fast Food, Desserts, Beverages",300,Electronic City
Baskin Robbins,No,No,4.1,77,Koramangala 7th Block,Desserts,Dessert Parlor,Waffle Cone,"Ice Cream, Desserts",250,Koramangala 7th Block
Basmati Bar & Restaurant,Yes,Yes,3.8,345,Marathahalli,Dine-out,Casual Dining,"Bamboo Chicken, Panneer Butter Masala, Chicken Dum Biryani, Paneer Tikka Biryani, Garlic Naan, Ghee Rice, Avakai Chicken Biryani","Biryani, Andhra, North Indian, Chinese",800,Marathahalli
Basmati Delights,Yes,No,4.0,870,BTM,Delivery,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500,Koramangala 6th Block
Basmati Restaurant,Yes,No,3.8,430,Bellandur,Delivery,Casual Dining,"Paneer Tikka Biryani, Chicken Biryani, Bamboo Chicken, Chicken Kebab, Vegetable Biryani, Mutton Keema","Biryani, Andhra, North Indian, Chinese",900,Sarjapur Road
Basmati's Briyani Nation,No,No,3.6,17,Whitefield,Delivery,"Takeaway, Delivery","","South Indian, Biryani",350,Whitefield
Basveshwara Khaanavali,No,No,3.5,15,Electronic City,Dine-out,Quick Bites,"",South Indian,150,Electronic City
Bat Chef,Yes,No,2.6,27,Indiranagar,Dine-out,Quick Bites,"",Fast Food,500,Old Airport Road
Bathinda Dine,Yes,No,4.1,730,Indiranagar,Dine-out,Casual Dining,"Lassi, Jeera Rice, Hariyali Kebab, Dal Fry, Chicken Lollipop, Chicken Rara, Dahi Ke Sholey",North Indian,950,Indiranagar
Bathinda Junction,Yes,Yes,4.1,1251,Koramangala 5th Block,Dine-out,Casual Dining,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani","North Indian, Mughlai",600,Koramangala 7th Block
Bathinda Tandoor,Yes,No,3.9,64,BTM,Delivery,Quick Bites,Friendly Staff,North Indian,300,Koramangala 7th Block
Batter Splatter,No,No,3.3,5,Lavelle Road,Desserts,Bakery,"",Bakery,350,Brigade Road
Bawarchi,No,No,3.0,29,Electronic City,Delivery,Quick Bites,"","North Indian, Chinese",400,Electronic City
Bawarchi Biryani,Yes,No,3.4,65,Koramangala 6th Block,Delivery,Quick Bites,"","Biryani, South Indian",350,Koramangala 6th Block
Bawarchi Inn,Yes,No,3.1,140,BTM,Dine-out,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani","North Indian, Biryani, Andhra, Chinese",600,JP Nagar
Bawarchi Khaana,Yes,No,3.3,56,Bellandur,Dine-out,Quick Bites,"","North Indian, Chinese",600,Sarjapur Road
Bawarchi Paradise,Yes,No,3.5,89,Bannerghatta Road,Delivery,Quick Bites,"","North Indian, Biryani",500,Bannerghatta Road
Bawarchi Restaurant,No,No,3.1,4,Electronic City,Dine-out,Casual Dining,"","North Indian, Biryani",700,Electronic City
Bawarchy Hotel,No,No,0,0,RT Nagar,Dine-out,Quick Bites,"","North Indian, Biryani",300,Frazer Town
Bay Root,No,No,3.7,24,BTM,Delivery,Quick Bites,"","North Indian, Arabian",400,JP Nagar
Bazaar - Zone By The Park,No,Yes,4.0,415,Electronic City,Dine-out,Casual Dining,"Salads, Chicken Tikka, Roti, Gulab Jamun, Lunch Buffet, Pasta, Salad","Continental, South Indian, North Indian, Asian",1400,Electronic City
Bazaar- Zone By The Park,No,Yes,3.8,53,Infantry Road,Dine-out,Casual Dining,"","Continental, South Indian, North Indian, Asian",1100,Residency Road
BBCUE Whitefield,No,No,3.5,8,Whitefield,Dine-out,Fine Dining,"",Continental,2400,Whitefield
BBQ King,No,No,3.4,6,Marathahalli,Delivery,Casual Dining,"","Fast Food, Chinese, Burger, Hot dogs, Sandwich",400,Brookefield
BBQ Nation Delivery,Yes,No,0,0,Basaveshwara Nagar,Delivery,Delivery,"","BBQ, Mughlai",750,Rajajinagar
BBQ Ride 46,Yes,No,3.4,7,South Bangalore,Delivery,Food Truck,"",BBQ,200,Koramangala 6th Block
BBQ@52,No,Yes,3.9,53,MG Road,Dine-out,Casual Dining,Pasta,"BBQ, Biryani, Continental",1500,MG Road
BBQ'D - Global Grill & Brewery,No,No,4.3,465,Lavelle Road,Dine-out,"Casual Dining, Microbrewery","Chicken Kebab, Butter Chicken, Papdi Chaat, Pizza, Dahipuri, Cocktails, Rice Kheer","BBQ, North Indian",1500,MG Road
BBxR,No,No,3.5,11,Marathahalli,Delivery,Delivery,"","Biryani, Kebab",400,Marathahalli
BDBD Banashri Davangere Benne Dose Hotel,Yes,No,3.7,16,Vijay Nagar,Delivery,Quick Bites,"",South Indian,150,Rajajinagar
Beach Hut,No,No,3.5,134,JP Nagar,Dine-out,Casual Dining,"Butter Naan, Butter Kulcha, Momos, Noodles, Paneer Tikka, Chop Suey, Tangdi Kabab","North Indian, Chinese",650,Jayanagar
Bean D'er Cafe,Yes,No,3.5,8,JP Nagar,Delivery,Quick Bites,"","Tamil, Fast Food",250,Bannerghatta Road
Bean Flickers,Yes,No,4.3,397,Indiranagar,Delivery,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700,Old Airport Road
Bearfoot Cafe,Yes,No,4.2,177,Koramangala 6th Block,Cafes,Cafe,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",Cafe,600,Koramangala 5th Block
Bearful,Yes,No,3.8,179,Sarjapur Road,Delivery,Casual Dining,"Pizza, Bamboo Biryani, Pasta, Cheese Balls, Noodles, Butter Chicken, Butter Naan","Continental, North Indian, Chinese, Pizza",1000,Sarjapur Road
Bearys Restaurant,No,No,3.3,6,RT Nagar,Delivery,Casual Dining,"","South Indian, North Indian",450,Frazer Town
Beaten Coffee,No,No,0,0,Whitefield,Cafes,Food Court,"","Chinese, Cafe",200,Whitefield
Beer Adda,Yes,Yes,4.3,549,Koramangala 5th Block,Dine-out,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","North Indian, Chinese, Pizza",1000,Koramangala 4th Block
Beetle Juice Bar - Springs Hotel & Spa,No,Yes,3.7,64,Basavanagudi,Dine-out,Bar,Rooftop Ambience,Finger Food,2200,Basavanagudi
Begin with us....Tea Time Cafe,Yes,No,3.9,38,Koramangala 7th Block,Delivery,Beverage Shop,"","Beverages, Tea",300,Koramangala 5th Block
Begum's Biriyani,No,No,3.2,4,HSR,Dine-out,Quick Bites,"","Biryani, North Indian, Chinese",500,HSR
Behrouz Biryani,Yes,No,4.2,128,Vasanth Nagar,Delivery,Delivery,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",Biryani,650,Frazer Town
Beijing Bites,Yes,Yes,4.0,859,Koramangala 5th Block,Dine-out,Casual Dining,"Noodles, Spring Roll, Dragon Chicken, Hunan Chicken, Lung Fung Soup, Prawn, Chop Suey","Chinese, Thai",850,Koramangala 5th Block
Being Healthy,No,No,0,0,Koramangala 6th Block,Delivery,Delivery,"",Healthy Food,300,Koramangala 7th Block
BEIR,Yes,No,3.6,0,Bannerghatta Road,Dine-out,Casual Dining,"","Mexican, American",800,Jayanagar
Bekal,Yes,No,4.0,277,Jeevan Bhima Nagar,Dine-out,Casual Dining,"Prawn Ghee Roast, Fish, Chicken Stew, Appam, Sol Kadhi, Neer Dosa, Kerala Parotta","Kerala, Mangalorean, Seafood",700,Indiranagar
